MSE,MAE,R2,EVS,MXE_valence,MXE_arousal,noFeat
0.05175,0.18437,0.33334,0.33561,0.42566,0.13948,5
0.0568,0.19008,0.27147,0.27852,0.5476,0.12236,10
0.05271,0.18146,0.32463,0.32595,0.50556,0.15156,20
0.05126,0.1813,0.34048,0.34089,0.38982,0.20353,30
0.05289,0.18296,0.31897,0.32606,0.50567,0.16532,40
0.04895,0.17819,0.36822,0.36973,0.47213,0.16802,50
0.04639,0.17211,0.40185,0.40473,0.45064,0.13144,60
0.04595,0.17227,0.40582,0.40796,0.38903,0.10834,70
0.04915,0.17696,0.36363,0.36751,0.44313,0.1181,80
0.04923,0.17606,0.36528,0.36608,0.3944,0.0888,199
